smiles,E1-CC2,E2-CC2,f1-CC2,f2-CC2,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-CAM,E2-CAM,f1-CAM,f2-CAM
[H]C([H])([H])C([H])([H])C([H])([H])[H],0.35880714,0.36925461,0.0015726,0.00298485,0.35356414,0.36777094,0.00215705,0.0056792,0.33965196,0.35184907,0.0019,0.0383
[H]OC([H])([H])C([H])([H])[H],0.26669876,0.32436,0.00021511,0.02683589,0.27725255,0.32179214,0.0021276,0.01145027,0.26258863,0.31631247,0,0.0174
[H]C([H])([H])OC([H])([H])[H],0.2741024,0.31468983,0.04407212,0.06006052,0.28555226,0.33424145,0.07022423,0.00000031,0.27583309,0.31263019,0.0444,0.0571
[H]C1([H])C([H])([H])C1([H])[H],0.32815231,0.3281839,0.00723734,0.00724217,0.3352776,0.33535688,0.01187026,0.01180811,0.3188004,0.31883347,0.0046,0.0046
[H]C1([H])OC1([H])[H],0.29635574,0.29981734,0.00682283,0.06824817,0.30875778,0.31637131,0.00000625,0.081305,0.30184426,0.30659227,0.0015,0
[H]C([H])([H])C(=O)C([H])([H])[H],0.17028194,0.2585645,0,0.03421965,0.16423003,0.27732207,0,0.02630977,0.16566228,0.2696151,0,0.0295
[H]N([H])C(=O)C([H])([H])[H],0.21596251,0.25776387,0.00060996,0.02983451,0.21194027,0.27311645,0.00130473,0.01830207,0.21171654,0.2671382,0.0006,0.0132
[H]N([H])C(=O)N([H])[H],0.24723508,0.27427329,0.00162354,0.00017353,0.24425457,0.2731937,0.00041534,0.01139557,0.24239488,0.26569027,0.001,0.0134
[H]C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.35097573,0.35181735,0.00336788,0.08406773,0.34508191,0.35347597,0.00420323,0.07094903,0.33555809,0.34164378,0.0037,0.068
[H]OC([H])(C([H])([H])[H])C([H])([H])[H],0.26747653,0.32765292,0.00791669,0.02838775,0.27674473,0.32726495,0.00595016,0.00886173,0.2657454,0.32329117,0.0052,0.0146
[H]C#CC#C[H],0.20552458,0.21467364,0,0,0.17807901,0.18660886,0,0,0.17530898,0.18277644,0,0
[H]C#CC#N,0.22381617,0.23378888,0,0,0.19308303,0.20298868,0,0,0.19043868,0.19908212,0,0
N#CC#N,0.24879131,0.25979457,0,0,0.21205742,0.22418428,0,0,0.20959243,0.21999249,0,0
[H]C#CC([H])=O,0.14777048,0.21377879,0.0001902,0.0000013,0.13729667,0.18201892,0.00012263,0.00004104,0.14207289,0.18254492,0.0002,0
[H]C(=O)C#N,0.14869072,0.25148055,0.00057006,0.0000006,0.13838235,0.21231028,0.00040187,0.00003126,0.14137833,0.21466016,0.0005,0
[H]C(=O)C([H])=O,0.10808901,0.16742635,0.00023698,0.00000003,0.09400655,0.15473665,0.00006816,0.00000002,0.10109739,0.15926055,0.0002,0
[H]C([H])([H])C#CC([H])([H])[H],0.29723268,0.29723272,0.00088754,0.00088757,0.2460112,0.2565118,0,0.00000004,0.24327318,0.25227677,0,0
[H]C#CC([H])([H])C([H])([H])[H],0.27127217,0.28329923,-0.00000003,0.00586998,0.24961719,0.26086589,0.00002758,0.00496916,0.24239855,0.2518909,0,0.0031
[H]C([H])([H])C([H])([H])C#N,0.31638476,0.33023395,0.00000026,0.01254975,0.28699783,0.30174175,0.00006417,0.0081932,0.28164683,0.2939652,0,0.0062
[H]N([H])C([H])([H])C#N,0.24925877,0.30817342,0.0106756,0.01243531,0.23807325,0.27494875,0.00261907,0.01729725,0.23892574,0.27611238,0.0075,0.0013
[H]C#CC([H])([H])O[H],0.25150791,0.27085732,0.00003871,0.00062872,0.23191034,0.25602799,0.00051688,0.00711675,0.22653754,0.2480506,0,0.0053
[H]OC([H])([H])C#N,0.26675269,0.30638444,0.00059447,0.00026232,0.25492539,0.28384786,0.00065584,0.00000883,0.25370999,0.27758235,0,0.0005
[H]C(=O)C([H])([H])C([H])([H])[H],0.16275309,0.28400357,0.00006317,0.03116543,0.15715378,0.29534952,0.00004526,0.01245328,0.15723934,0.29160222,0.0001,0.0078
[H]C(=O)N([H])C([H])([H])[H],0.21851084,0.26150051,0.00108821,0.00033806,0.21501378,0.27149986,0.00151256,0.00063577,0.21301379,0.25713503,0.0012,0.0001
[H]C(=O)OC([H])([H])[H],0.22046658,0.29433215,0.00139328,0.16883815,0.2152647,0.30019155,0.00162908,0.11716911,0.21234128,0.29517793,0.0014,0.1333
[H]OC([H])([H])C([H])=O,0.15734384,0.2619235,0.00005933,0.00779802,0.15103268,0.23695174,0.00002084,0.00876517,0.15182616,0.25298971,0.0001,0.0096
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.35039928,0.35388728,0,0,0.34909308,0.35382217,0,0,0.33620488,0.33897945,0,0
[H]OC([H])([H])C([H])([H])C([H])([H])[H],0.26636922,0.31843814,0.000464,0.02020706,0.27825582,0.30820689,0.00127888,0.00893108,0.2627834,0.3106641,0.0001,0.0147
[H]C([H])([H])OC([H])([H])C([H])([H])[H],0.27245036,0.31048924,0.04621341,0.01012909,0.28502767,0.31516376,0.06300638,0.00808768,0.27624835,0.31088827,0.0468,0.0101
[H]OC([H])([H])C([H])([H])O[H],0.26011314,0.28758913,0.00150981,0.02465486,0.26575952,0.29922712,0.00104317,0.01625896,0.25593333,0.28496897,0.0019,0.0191
[H]C([H])([H])C1([H])C([H])([H])C1([H])[H],0.31214645,0.32192482,0.01500499,0.0014859,0.315731,0.32541196,0.01780623,0.00187956,0.3035678,0.31392009,0.0112,0.0009
[H]C([H])([H])C1([H])OC1([H])[H],0.29666339,0.30035941,0.04113072,0.00139895,0.31021381,0.31396996,0.00340472,0.02768764,0.30283649,0.31091767,0.0055,0.027
[H]C([H])([H])N1C([H])([H])C1([H])[H],0.26450069,0.29199388,0.04791519,0.04187646,0.27264595,0.30216633,0.0528179,0.03150974,0.26853467,0.290169,0.0312,0.0261
[H]OC1([H])C([H])([H])C1([H])[H],0.25177221,0.28785187,0.0111223,0.00012395,0.26156275,0.28091972,0.00851621,0.00063124,0.24867166,0.28160273,0.008,0.0001
[H]C1([H])C([H])([H])C([H])([H])C1([H])[H],0.32955476,0.32955488,0.04571176,0.04571177,0.33677495,0.33681627,0.04922081,0.05124586,0.32225116,0.32225116,0.0348,0.0348
[H]C1([H])OC([H])([H])C1([H])[H],0.2571746,0.27063846,0.00185255,0.02342146,0.27465121,0.28383834,0.01465565,0.01913714,0.26187937,0.27768158,0.0023,0.0238
[H]ON=C(C([H])([H])[H])C([H])([H])[H],0.23718975,0.26226083,0.00328793,0.00624889,0.22767417,0.25913538,0.0031181,0.20722087,0.23204259,0.25625305,0.0026,0.0037
[H]c1c([H])c([H])n([H])c1[H],0.23419809,0.25109177,0,0.16817265,0.23711252,0.25041139,0.00000004,0.15955277,0.22566658,0.23848475,0,0.1584
[H]c1nc([H])n([H])c1[H],0.24770617,0.24914444,0.09748489,0.00000904,0.24293804,0.25244251,0.0030119,0.14174074,0.24018257,0.24383912,0,0.1595
[H]c1oc([H])c([H])c1[H],0.24701401,0.28963534,0.16730295,0.00000001,0.24194874,0.25983567,0.15888554,0.00011504,0.23123043,0.25884387,0.1517,0.0001
[H]c1nc([H])c([H])o1,0.24657988,0.248356,0.00292142,0.12931429,0.23719908,0.24585004,0.00272522,0.14271812,0.23807315,0.2426411,0.1472,0.0031
[H]C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.33909565,0.33910532,0.11331101,0.11331432,0.34107112,0.34108752,0.07226826,0.07277651,0.33301504,0.33302974,0.0858,0.0858
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.26490452,0.32813317,0.01832198,0.07629757,0.27422435,0.3243483,0.01026268,0.02052173,0.26651346,0.32128465,0.0129,0.025
[H]C#CC(=O)C([H])([H])[H],0.15359416,0.22048974,0.00010653,0.00000347,0.14422725,0.19012507,0.00005472,0.00002634,0.14925371,0.19070327,0.0001,0
[H]C([H])([H])C(=O)C#N,0.15617066,0.25885115,0.00040619,0.00009366,0.14701787,0.22196221,0.00025008,0.00005,0.15039661,0.22425173,0.0003,0
[H]C#CC(=O)N([H])[H],0.1900616,0.24698984,0.00003142,0.00002562,0.17915441,0.22030758,0.00024749,0.00009765,0.18414719,0.21783163,0,0
[H]C(=O)C(=O)C([H])([H])[H],0.10953457,0.17185391,0.00016349,0.00002043,0.09811152,0.1608064,0.0000356,0.00002484,0.10440116,0.16530582,0.0001,0
[H]C(=O)C(=O)N([H])[H],0.12984233,0.18151049,0.00006764,0.00021078,0.11947011,0.17108957,0.00000094,0.00036535,0.12378275,0.17623874,0.0001,0.0002
[H]C#CC([H])(C([H])([H])[H])C([H])([H])[H],0.27117144,0.2827964,0.0002743,0.00647801,0.25017719,0.26082667,0.00008846,0.0049009,0.24297184,0.25210772,0.0001,0.0036
[H]C([H])([H])C([H])(C#N)C([H])([H])[H],0.3157038,0.32878554,0.00053144,0.01546405,0.28695529,0.3006278,0.0000203,0.00894968,0.28199227,0.29374471,0.0001,0.0075
[H]N([H])C([H])(C#N)C([H])([H])[H],0.26076838,0.29741959,0.02763341,0.00909795,0.25620418,0.26781483,0.02307477,0.01178499,0.25475,0.27607563,0.0246,0.0017
[H]C#CC([H])(O[H])C([H])([H])[H],0.26331645,0.27306383,0.00095523,0.02182075,0.24125686,0.25601583,0.00027882,0.00663732,0.23448642,0.24897668,0.0001,0.0046
[H]OC([H])(C#N)C([H])([H])[H],0.28128933,0.30659407,0.01666812,0.00038242,0.27221725,0.27918483,0.00674994,0.00408817,0.27149667,0.27765585,0.0017,0.0114
[H]C(=O)C([H])(C([H])([H])[H])C([H])([H])[H],0.16244172,0.28228967,0.00006782,0.03240739,0.15659978,0.2879784,0.00010209,0.00323287,0.15714747,0.28997423,0,0.0132
[H]OC([H])(C([H])=O)C([H])([H])[H],0.16072533,0.25919476,0.00005117,0.01784892,0.15611998,0.22635336,0.00001869,0.01537126,0.15575099,0.24573171,0.0001,0.0176
[H]C(=O)N(C([H])([H])[H])C([H])([H])[H],0.21683777,0.2560943,0.00096671,0.28673165,0.2144156,0.26607678,0.00115326,0.24336898,0.21195908,0.2590166,0.001,0.2418
[H]OC([H])([H])C(=O)C([H])([H])[H],0.17979845,0.25233676,0.00001209,0.03148062,0.17515994,0.21252821,0.00000349,0.02200132,0.17607704,0.24051698,0,0.0281
[H]C([H])([H])C(=O)C([H])([H])C([H])([H])[H],0.17093054,0.25440017,0.0000218,0.02299393,0.16579909,0.27500399,0.00001901,0.01443859,0.16661409,0.26624886,0,0.0175
[H]N([H])C(=O)C([H])([H])C([H])([H])[H],0.21613708,0.25759833,0.00046795,0.02787351,0.21343907,0.27514604,0.00096234,0.01480131,0.2124552,0.26775191,0.0004,0.0115
[H]N(C(=O)C([H])([H])[H])C([H])([H])[H],0.2199211,0.25484293,0.0004986,0.00003644,0.21622597,0.26555752,0.00087411,0.0010078,0.21688717,0.25291621,0.0005,0
[H]N([H])C(=O)N([H])C([H])([H])[H],0.24928565,0.2511053,0.0056701,0.0012014,0.24823674,0.26132867,0.00162794,0.0032145,0.24639688,0.24704366,0.0005,0.0022
[H]N=C(OC([H])([H])[H])C([H])([H])[H],0.25057374,0.28751089,0.00143573,0.01106529,0.24164757,0.28973953,0.0006816,0.09929206,0.24326583,0.28351737,0.0008,0.0101
[H]C([H])([H])OC(=O)C([H])([H])[H],0.22478099,0.29618078,0.0012191,0.02377245,0.21797156,0.30192787,0.00171007,0.08191536,0.21882386,0.30143267,0.0012,0.0384
[H]N([H])C(=O)OC([H])([H])[H],0.26617682,0.28261985,0.00055197,0.01348649,0.26077136,0.29723335,0.00029827,0.01191503,0.25931059,0.27867748,0.0005,0.0129
[H]OC([H])([H])C(=O)N([H])[H],0.21268948,0.25650964,0.00114234,0.02088433,0.20903486,0.26643438,0.00153307,0.00730022,0.20860387,0.26300022,0.001,0.0035
[H]OC([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.26570811,0.32039771,0.0004801,0.03272819,0.27857787,0.3098907,0.00116694,0.01489574,0.2630039,0.31458158,0.0001,0.0267
[H]OC([H])([H])C([H])(O[H])C([H])([H])[H],0.27537016,0.28362483,0.00731406,0.00396631,0.28056093,0.2862515,0.00295601,0.0031389,0.27344071,0.27955212,0.0048,0.0021
[H]C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H],0.34129462,0.34788717,0.01246577,0.04292418,0.34142285,0.34602923,0.0054532,0.02264135,0.3325667,0.33701336,0.0077,0.0249
[H]OC([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H],0.26641925,0.32832687,0.0084549,0.03128601,0.27716863,0.32824326,0.00590017,0.01299224,0.26560207,0.32245328,0.0055,0.0178
[H]C([H])([H])OC([H])(C([H])([H])[H])C([H])([H])[H],0.27209248,0.305612,0.01981375,0.0259593,0.28147536,0.31498614,0.01871828,0.02986733,0.27831367,0.30979681,0.0177,0.0223
[H]C([H])([H])C1(C([H])([H])[H])C([H])([H])C1([H])[H],0.29540476,0.31342441,0.04604925,0.02121713,0.30090683,0.31827758,0.04190443,0.00755079,0.29088561,0.30824599,0.0388,0.0118
[H]C([H])([H])C1(C([H])([H])[H])OC1([H])[H],0.28582964,0.29485704,0.0000117,0.00666135,0.30085118,0.30497271,0.00005838,0.00042926,0.29893004,0.3008263,0.003,0.0003
[H]OC1(C([H])([H])[H])C([H])([H])C1([H])[H],0.26391402,0.29763821,0.01065313,0.05141457,0.27475062,0.30438683,0.00784148,0.03132699,0.26143838,0.29353524,0.0074,0.0412
[H]N=C1OC([H])([H])C1([H])[H],0.25651629,0.27992054,0.01045335,0.15250756,0.24729548,0.28456645,0.01100397,0.10089071,0.2478154,0.28120951,0.0081,0.145
[H]C1([H])C(=O)C([H])([H])C1([H])[H],0.16225761,0.26400638,0.00000233,0.04850829,0.15775958,0.28150112,0.00000736,0.0188541,0.15798167,0.27154444,0,0.0429
[H]N1C(=O)C([H])([H])C1([H])[H],0.22861061,0.27239013,0.00070019,0.00005168,0.22330338,0.28274493,0.001354,0.05277413,0.22172705,0.26972535,0.0007,0
[H]C1([H])OC(=O)C1([H])[H],0.2288931,0.29005859,0.00077007,0.0769789,0.22149438,0.29670899,0.00137106,0.05568514,0.22091489,0.29618486,0.0008,0.0639
[H]N1C([H])([H])C(=O)C1([H])[H],0.16652558,0.20489716,0.00001044,0.00035556,0.16109346,0.18225562,0.00000021,0.0007646,0.16130749,0.20118051,0,0.0007
[H]C1([H])OC([H])([H])C1=O,0.16885387,0.26919067,0,0.01225434,0.16265457,0.20534569,0.00000001,0.00619384,0.16287669,0.22396509,0,0.0073
[H]C([H])([H])C1([H])C([H])([H])C([H])([H])C1([H])[H],0.3196873,0.32337463,0.00066894,0.07029634,0.32686819,0.33016273,0.00090228,0.08046161,0.31486087,0.31725693,0.0006,0.0587
[H]C([H])([H])C1([H])OC([H])([H])C1([H])[H],0.26417985,0.27581622,0.01094762,0.01328518,0.27927721,0.29089372,0.01674351,0.00498221,0.27151137,0.28476317,0.0074,0.0135
[H]C([H])([H])C1([H])C([H])([H])OC1([H])[H],0.25707443,0.26924668,0.00091973,0.02302871,0.27381448,0.27972931,0.00657924,0.02510996,0.26251513,0.27721486,0.0003,0.0271
[H]OC1([H])C([H])([H])C([H])([H])C1([H])[H],0.26656122,0.30305302,0.0117627,0.02115054,0.27859418,0.29917048,0.00861795,0.01039851,0.26529338,0.30107252,0.0094,0.0132
[H]OC1([H])C([H])([H])OC1([H])[H],0.25255034,0.2638152,0.00064645,0.00363019,0.2644102,0.27691907,0.00311151,0.00166011,0.25640739,0.26345591,0.0009,0.0025
[H]C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])[H],0.29638041,0.30432132,0.01122798,0.00046765,0.30026022,0.30760254,0.01484593,0.00000127,0.28972801,0.29793046,0.0098,0
[H]OC1([H])C([H])([H])C1([H])C([H])([H])[H],0.26728711,0.29541712,0.00515069,0.01324549,0.27945409,0.29977287,0.00082557,0.01332842,0.2639557,0.28912164,0.0026,0.0115
[H]C([H])([H])N1C([H])([H])C1([H])C([H])([H])[H],0.25265776,0.27702956,0.01928799,0.01823087,0.25950954,0.28777581,0.02094866,0.02026439,0.25717545,0.27916993,0.0143,0.0194
[H]C([H])([H])C1([H])OC1([H])C([H])([H])[H],0.28938636,0.30499394,0.04827181,0.0276281,0.3062356,0.31302117,0.02122502,0.0083904,0.30321133,0.31427656,0.0378,0.018
[H]OC1([H])C([H])([H])C1([H])O[H],0.25573106,0.28510398,0.01695807,0.00959209,0.26069045,0.28240925,0.00819436,0.01996963,0.25351522,0.27936837,0.0124,0.0038
[H]C1([H])C2([H])C([H])([H])C1([H])C2([H])[H],0.34291829,0.34401453,0.00000004,0.04283714,0.34965836,0.36373087,0.05367595,0.14646636,0.33827387,0.34240081,0.028,0
[H]C1([H])C2([H])OC1([H])C2([H])[H],0.26577594,0.30822269,0,0,0.28287352,0.29672233,0.00106428,0.03639682,0.27464608,0.28581788,0.0013,0
[H]C#CC([H])([H])C#C[H],0.26983892,0.28411422,0.00026324,0.0065667,0.2441467,0.25211055,0.00080305,0,0.23995105,0.24514005,0.0002,0
[H]C#CC([H])([H])C#N,0.27190837,0.28572671,0.00020698,0.00293634,0.24681055,0.25977501,0.00047118,0.00418811,0.24174441,0.25290151,0.0002,0.002
[H]C([H])(C#N)C#N,0.31286138,0.33058347,0.00109568,0.0024244,0.27925118,0.28851445,0.00140203,0,0.27642475,0.28285221,0.0007,0
[H]C#CC([H])([H])C([H])=O,0.16441233,0.26639475,0.00030338,0.00037486,0.15829557,0.2232075,0.00055897,0.00371086,0.15842634,0.23565137,0.0003,0.001
[H]C(=O)C([H])([H])C#N,0.16461841,0.29139197,0.00014175,0.0152325,0.15917229,0.26257112,0.00014656,0.0038511,0.15864316,0.27330106,0.0001,0.0006
[H]N=C([H])N([H])C([H])=O,0.18394205,0.22312657,0.00010023,0.00363627,0.17279945,0.21251663,0.00003896,0.00353633,0.17645189,0.21442864,0.0002,0.0026
[H]N=C([H])OC([H])=O,0.21419092,0.23312502,0.00073693,0.00370983,0.20445968,0.22299719,0.00038342,0.00380396,0.20554633,0.22441343,0.0007,0.0026
[H]C(=O)N([H])C([H])=O,0.17265088,0.24579822,0.00158622,0.20462287,0.16236579,0.19779148,0.00134376,0,0.16521027,0.19840226,0.0016,0
[H]C#CC#CC([H])([H])[H],0.20403711,0.21270914,0,0.00024768,0.17590784,0.18403706,0,0.00032314,0.1743976,0.18146449,0,0.0002
[H]C([H])([H])C#CC#N,0.22135363,0.23051909,0,0.00038407,0.18999761,0.19933125,0,0.00044728,0.18871514,0.19678896,0,0.0003
[H]C(=O)C#CC([H])([H])[H],0.14897761,0.20612753,0.00023359,0.00009892,0.13935639,0.17463211,0.0001758,0.00003676,0.14439912,0.17614687,0.0003,0.0001
[H]OC([H])([H])C#CC([H])([H])[H],0.2489747,0.26898392,0.00017689,0.0002475,0.22698796,0.24944549,0.0000611,0.00851462,0.22405696,0.24545977,0,0.0091
[H]C([H])([H])C#CC([H])([H])C([H])([H])[H],0.26999831,0.28103641,0.00006069,0.00865079,0.24376394,0.25419408,0.00000422,0.00337098,0.2411895,0.25010856,0,0.0028
[H]C(=NC([H])([H])[H])OC([H])([H])[H],0.22562896,0.26353777,0.0006804,0.30492081,0.21641123,0.26471363,0.0011289,0.31984855,0.21621833,0.25795821,0.0004,0.2981
[H]C#CC([H])([H])C([H])([H])C([H])([H])[H],0.2714623,0.28347781,0.00000175,0.00569452,0.25002072,0.261184,0.00002273,0.00445615,0.24275134,0.25224369,0,0.0027
[H]C([H])([H])C([H])([H])C([H])([H])C#N,0.3165883,0.3300795,0.00000134,0.01244378,0.28722994,0.301674,0.00004214,0.00883954,0.28209517,0.29429227,0,0.006
[H]N(C([H])([H])[H])C([H])([H])C#N,0.23847932,0.28773527,0.00223843,0.06236513,0.22818152,0.25841982,0.00216101,0.01539723,0.23274818,0.27169144,0.0011,0.007
[H]C#CC([H])([H])OC([H])([H])[H],0.25615041,0.27100976,0.00468531,0.01831899,0.23498316,0.25751217,0.00158503,0.00592802,0.23019777,0.24956467,0.0004,0.004
[H]C([H])([H])OC([H])([H])C#N,0.2677483,0.30210947,0.0132596,0.03174319,0.2527831,0.28032741,0.00648253,0.0015921,0.25852415,0.27713769,0.0049,0.0058
[H]C#CC([H])([H])C([H])([H])O[H],0.27174922,0.2847202,0.00000121,0.00320858,0.25032356,0.26221399,0.00004674,0.00246389,0.24276237,0.253122,0,0.0017
[H]OC([H])([H])C([H])([H])C#N,0.27594641,0.31657635,0.00075499,0.00009006,0.28662261,0.28729033,0.00075865,0.00019923,0.27196706,0.2816946,0.0002,0
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0.16248157,0.2831301,0.00014285,0.03800648,0.15685136,0.28964471,0.00011121,0.00295954,0.15705927,0.29117225,0.0001,0.0086
[H]C(=O)N([H])C([H])([H])C([H])([H])[H],0.21727242,0.25947522,0.00090594,0.05234186,0.2136691,0.26909798,0.0012909,0.06461449,0.21198848,0.25764217,0.0011,0.0149
[H]C(=O)OC([H])([H])C([H])([H])[H],0.21922484,0.29116863,0.00118966,0.1983228,0.21374846,0.29761298,0.00141911,0.13144607,0.21134537,0.29351686,0.0012,0.1569
[H]C(=O)C([H])([H])OC([H])([H])[H],0.16218774,0.2542367,0.00004712,0.00803318,0.15732444,0.2169363,0.000011,0.0074424,0.15693432,0.23941451,0.0001,0.0077
[H]OC([H])([H])C([H])([H])C([H])=O,0.16054398,0.27135552,0.00024042,0.0155196,0.15477311,0.23438168,0.00025911,0.02709984,0.15519608,0.26640321,0.0001,0.0453
[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.34156892,0.35164028,0.0103997,0.0002941,0.3475461,0.34873914,0.0003183,0.01573699,0.33374267,0.33488558,0.0092,0.0004
[H]OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H],0.26592387,0.3189412,0.00046584,0.0224305,0.27854271,0.30873016,0.00123268,0.00855933,0.26251881,0.3117776,0.0001,0.0164
[H]C([H])([H])OC([H])([H])C([H])([H])C([H])([H])[H],0.27214182,0.30575695,0.04370748,0.00010445,0.28581228,0.30262034,0.06079893,0.00319842,0.27664157,0.30496428,0.0451,0.0001
[H]C([H])([H])C([H])([H])OC([H])([H])C([H])([H])[H],0.26965359,0.30469308,0.04264892,0.00000002,0.28374167,0.3099588,0.05416898,0.00000034,0.275201,0.30735298,0.0423,0
[H]OC([H])([H])C([H])([H])OC([H])([H])[H],0.27956926,0.28965933,0.03053984,0.00914709,0.29284471,0.29584633,0.0496943,0.0109872,0.28218704,0.2859171,0.0271,0.0067
[H]OC([H])([H])C([H])([H])C([H])([H])O[H],0.26661678,0.2668656,0.00000001,0.00097711,0.27801107,0.27888847,0.00013681,0.00218757,0.26304432,0.26327952,0,0.0002
[H]C#CC1([H])C([H])([H])C1([H])[H],0.25397231,0.27140566,0.00133056,0.03292627,0.23413842,0.2503097,0.00102374,0.01975979,0.22815819,0.24333566,0.0006,0.0176
[H]C#CC1([H])N([H])C1([H])[H],0.24548307,0.26246943,0.01639424,0.09393135,0.226906,0.24255173,0.00829351,0.05935124,0.22433258,0.23961663,0.0076,0.0307
[H]C#CC1([H])OC1([H])[H],0.25322138,0.26846755,0.0137783,0.02329164,0.23191158,0.24796341,0.00788749,0.00129753,0.2263097,0.24158639,0.0065,0.0009
[H]C1([H])C([H])([H])C1([H])C#N,0.28890531,0.30933852,0.00359689,0.06522847,0.26506247,0.28484757,0.00161683,0.03374209,0.26109293,0.28016951,0.0014,0.0319
[H]N1C([H])([H])C1([H])C#N,0.26145664,0.28006581,0.02659172,0.12361203,0.24421862,0.25977465,0.01989878,0.07748948,0.2476684,0.26670088,0.0193,0.0785
[H]C1([H])OC1([H])C#N,0.27024083,0.28743412,0.01507125,0.00639324,0.2545432,0.26525702,0.00972344,0.00499871,0.2586197,0.26936888,0.013,0.0051
[H]C(=O)C1([H])C([H])([H])C1([H])[H],0.16841157,0.27839305,0.00009361,0.15016354,0.16234313,0.27170209,0.00003733,0.21059024,0.1632258,0.27292254,0.0001,0.2453
[H]C(=O)C1([H])N([H])C1([H])[H],0.1639015,0.2167635,0.00012639,0.10419195,0.16026836,0.19775146,0.00009496,0.06732419,0.16007639,0.21310566,0.0001,0.0838
[H]C(=O)C1([H])OC1([H])[H],0.16057224,0.24210316,0.00022107,0.02483587,0.1528321,0.22308304,0.00010905,0.01236046,0.15471466,0.24111232,0.0002,0.0156
[H]C(=O)N1C([H])([H])C1([H])[H],0.19405979,0.24859814,0.00726443,0.19642927,0.19025341,0.25704223,0.00436891,0.17658342,0.18957874,0.25277656,0.0043,0.1706
[H]C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])[H],0.3113943,0.32088805,0.01223365,0.00081623,0.3151958,0.32237214,0.01218629,0.00640586,0.30430279,0.31357832,0.008,0.0018
[H]C([H])([H])C([H])([H])C1([H])OC1([H])[H],0.29577965,0.29959653,0.03209742,0.01138111,0.30543443,0.31735389,0.00491361,0.0244122,0.30135549,0.31149463,0.0056,0.0122
[H]C([H])([H])C([H])([H])N1C([H])([H])C1([H])[H],0.26256816,0.27800884,0.06098542,0.01199141,0.27202164,0.29222279,0.05255358,0.01872135,0.26913368,0.28117276,0.0408,0.0147
[H]C([H])([H])OC1([H])C([H])([H])C1([H])[H],0.27753117,0.29766487,0.02886068,0.01289779,0.28563595,0.30270782,0.02743278,0.00668133,0.27980201,0.2979819,0.0246,0.0074
[H]OC([H])([H])C1([H])C([H])([H])C1([H])[H],0.2650839,0.31902173,0.00138493,0.03443781,0.27672215,0.31568554,0.00477651,0.02244831,0.26201534,0.31232517,0.0014,0.0271
